frame,nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
0,0.5417391657829285,0.6055265665054321,0.01093808002769947,0.542357325553894,0.601099967956543,0.014603817835450172,0.543029248714447,0.6003299951553345,0.014579067006707191,0.5436918139457703,0.5996547937393188,0.014575077220797539,0.5411180853843689,0.6033289432525635,0.02067025564610958,0.5408934354782104,0.6040056943893433,0.02068004570901394,0.5406724810600281,0.6047133207321167,0.020677881315350533,0.5469212532043457,0.6022080183029175,0.041188739240169525,0.5426633954048157,0.608670711517334,0.068589948117733,0.5441408157348633,0.6076555848121643,0.02134605124592781,0.542659342288971,0.6099987030029297,0.029128920286893845,0.5561851859092712,0.622866153717041,0.028796058148145676,0.5467888712882996,0.6357558369636536,0.1026432067155838,0.5754527449607849,0.6561585664749146,-0.01053550187498331,0.5465494394302368,0.6696926355361938,0.109038807451725,0.5681802034378052,0.6841234564781189,-0.047477319836616516,0.5404033064842224,0.6816734075546265,0.0747121050953865,0.5658289194107056,0.6991234421730042,-0.05971895903348923,0.5388400554656982,0.6870805621147156,0.07357582449913025,0.5610009431838989,0.6958171725273132,-0.056339018046855927,0.5386033654212952,0.6849513053894043,0.06482630223035812,0.5606675744056702,0.6917479634284973,-0.045489028096199036,0.5396391749382019,0.6829437613487244,0.07042292505502701,0.5688254833221436,0.7229799628257751,-0.026892710477113724,0.5630232095718384,0.7246289849281311,0.027028465643525124,0.5639482140541077,0.7436612248420715,-0.14647704362869263,0.5541741847991943,0.7514690160751343,0.01274198479950428,0.5687588453292847,0.7875028252601624,-0.20962238311767578,0.548599898815155,0.82493656873703,0.01255298126488924,0.569391131401062,0.8081373572349548,-0.21651992201805115,0.5494400262832642,0.8391425013542175,0.010642945766448975,0.5661148428916931,0.7987490892410278,-0.25920602679252625,0.542412519454956,0.8218274712562561,-0.017322618514299393
1,0.5409183502197266,0.6040415167808533,-0.0498739555478096,0.5421295166015625,0.5993035435676575,-0.044681616127491,0.5429881811141968,0.5986112952232361,-0.04468099772930145,0.5437371134757996,0.5979135036468506,-0.044685106724500656,0.5400486588478088,0.6012468338012695,-0.040540311485528946,0.5394858121871948,0.6018539667129517,-0.04054466634988785,0.5388527512550354,0.6025174260139465,-0.040538810193538666,0.5473202466964722,0.5991736650466919,-0.016096314415335655,0.5401944518089294,0.6050911545753479,0.0021905750036239624,0.543513298034668,0.6070030927658081,-0.039344366639852524,0.5412616729736328,0.6092225313186646,-0.034195758402347565,0.560783326625824,0.6236909031867981,-0.016254983842372894,0.5405510663986206,0.6400065422058105,0.03481798619031906,0.577679455280304,0.6567798852920532,-0.026361996307969093,0.5386260747909546,0.6798019409179688,0.03468001261353493,0.5684998631477356,0.6856935024261475,-0.04726473614573479,0.54375821352005,0.6902492642402649,-0.021662402898073196,0.5664617419242859,0.6992022395133972,-0.0578923225402832,0.5360690951347351,0.6869083642959595,-0.032413043081760406,0.5620887875556946,0.6960248947143555,-0.056949954479932785,0.5363367199897766,0.6835855841636658,-0.03805844113230705,0.5619884729385376,0.6920527815818787,-0.04576895013451576,0.5369715094566345,0.6823585033416748,-0.025575760751962662,0.5704371333122253,0.7041834592819214,-0.01927170157432556,0.5566781163215637,0.7130335569381714,0.019279848784208298,0.5768660306930542,0.755744993686676,-0.02576630376279354,0.5523821115493774,0.7529525756835938,-0.0789039358496666,0.5844493508338928,0.7743580341339111,0.07434771955013275,0.5485818982124329,0.8303927779197693,-0.0676741972565651,0.5855985283851624,0.7757572531700134,0.08393438160419464,0.5496505498886108,0.8454923033714294,-0.06827351450920105,0.5886415243148804,0.7985526323318481,0.059427410364151,0.5365626215934753,0.8314672708511353,-0.11274313926696777
2,0.5384761095046997,0.604148805141449,-0.08147415518760681,0.5399051308631897,0.5993577241897583,-0.07752760499715805,0.5410366058349609,0.5986506342887878,-0.07752852141857147,0.5421757698059082,0.5979502201080322,-0.07753582298755646,0.5373193621635437,0.6013394594192505,-0.07245511561632156,0.5365992784500122,0.601952850818634,-0.07246345281600952,0.535835862159729,0.6026177406311035,-0.07245610654354095,0.5462062954902649,0.599341869354248,-0.04868394881486893,0.5373014807701111,0.605353057384491,-0.026064127683639526,0.5413531064987183,0.6076634526252747,-0.07043413817882538,0.5387791395187378,0.6096271872520447,-0.0640544667840004,0.5610305070877075,0.6264120936393738,-0.046696580946445465,0.5381342172622681,0.6416806578636169,0.017605656757950783,0.5780065059661865,0.658569872379303,-0.05112935230135918,0.5405498743057251,0.6778475642204285,0.0274847149848938,0.5685997605323792,0.6884486079216003,-0.06868410855531693,0.5452377200126648,0.6967840194702148,-0.02822633646428585,0.5668442249298096,0.7013711929321289,-0.08036255836486816,0.536575436592102,0.6961924433708191,-0.0384104922413826,0.5626281499862671,0.6982080936431885,-0.08315182477235794,0.5373477339744568,0.691836953163147,-0.047166306525468826,0.5625089406967163,0.6945183873176575,-0.0690583735704422,0.544509768486023,0.6938679814338684,-0.03319389000535011,0.5719081163406372,0.7054122090339661,-0.020393140614032745,0.5570889711380005,0.7132894992828369,0.02053835056722164,0.5757597088813782,0.7600182294845581,-0.04845251888036728,0.5506867170333862,0.7550653219223022,-0.044443827122449875,0.5846646428108215,0.7731038331985474,0.059016406536102295,0.5483279228210449,0.8337228298187256,-0.03060643933713436,0.5859336853027344,0.7735380530357361,0.06927762180566788,0.5499463677406311,0.8481859564781189,-0.03139447420835495,0.5897239446640015,0.8022105097770691,0.05097665265202522,0.5328665971755981,0.8412734866142273,-0.06939269602298737
3,0.5369057655334473,0.606596827507019,-0.10735438764095306,0.5383332967758179,0.6013936996459961,-0.10381396859884262,0.539549708366394,0.600777804851532,-0.10381297022104263,0.5408521890640259,0.6001580953598022,-0.10381336510181427,0.5356958508491516,0.6031062006950378,-0.09901431947946548,0.5349645614624023,0.6037096381187439,-0.09902399778366089,0.534206748008728,0.6043730974197388,-0.09902672469615936,0.5447342395782471,0.601333737373352,-0.07354898005723953,0.5356945991516113,0.6067700982093811,-0.051742345094680786,0.5397529602050781,0.6108362674713135,-0.09561207890510559,0.5371495485305786,0.612407386302948,-0.08946341276168823,0.5604754090309143,0.6293855905532837,-0.06671187281608582,0.5352680087089539,0.644000768661499,-0.006054306402802467,0.577884316444397,0.6612693667411804,-0.07255451381206512,0.5413875579833984,0.6801244616508484,0.008933639153838158,0.5678056478500366,0.6918769478797913,-0.09684570878744125,0.5452488660812378,0.7010272741317749,-0.04140910506248474,0.5664573907852173,0.7046676278114319,-0.11121541261672974,0.5439978241920471,0.7093021273612976,-0.05333663150668144,0.5620990991592407,0.702052116394043,-0.11472348868846893,0.5444566011428833,0.7064071893692017,-0.06465130299329758,0.5618413686752319,0.6985102891921997,-0.09795315563678741,0.5461414456367493,0.7034521698951721,-0.0473671518266201,0.5716530084609985,0.7068661451339722,-0.02123364247381687,0.5565453767776489,0.7144972085952759,0.021317724138498306,0.5750237703323364,0.7629494667053223,-0.0331541933119297,0.547927975654602,0.7601270079612732,-0.05776526406407356,0.5872316360473633,0.7822834253311157,0.07162808626890182,0.5477325916290283,0.8353584408760071,-0.03938326612114906,0.5884355902671814,0.7824722528457642,0.08079656213521957,0.550106406211853,0.8498865962028503,-0.040058113634586334,0.5905600190162659,0.8181573748588562,0.05399075150489807,0.5319578647613525,0.8518190979957581,-0.08450012654066086
4,0.53673255443573,0.60874342918396,-0.09318797290325165,0.5383216738700867,0.6039316654205322,-0.08780072629451752,0.5395376682281494,0.6035123467445374,-0.08780291676521301,0.5408132076263428,0.6030687689781189,-0.08781077712774277,0.5356276035308838,0.6049915552139282,-0.08429946005344391,0.5348851680755615,0.6054352521896362,-0.08431467413902283,0.5341357588768005,0.6059102416038513,-0.08431090414524078,0.5442687273025513,0.6042660474777222,-0.053812164813280106,0.5349058508872986,0.6088591814041138,-0.037688903510570526,0.5394411087036133,0.6137194037437439,-0.08037985861301422,0.5366102457046509,0.6148039698600769,-0.0759371668100357,0.5602779984474182,0.6316569447517395,-0.04707424342632294,0.5336068272590637,0.6472777128219604,0.00709667569026351,0.5771890878677368,0.663968026638031,-0.055188924074172974,0.5418993234634399,0.6818842887878418,0.021847911179065704,0.566196858882904,0.6946015357971191,-0.07935605198144913,0.5447818040847778,0.7030861973762512,-0.03197494149208069,0.5649929046630859,0.707779049873352,-0.09226591885089874,0.5427780747413635,0.711347222328186,-0.04377629607915878,0.5606590509414673,0.7047334313392639,-0.09618981182575226,0.5441404581069946,0.7086160778999329,-0.05563618615269661,0.5605138540267944,0.7009078860282898,-0.08041202276945114,0.5452622771263123,0.7041581273078918,-0.03810764104127884,0.5712056159973145,0.706126868724823,-0.01965492032468319,0.5545905828475952,0.7129507064819336,0.01968957856297493,0.5735102891921997,0.7598391175270081,-0.07464529573917389,0.5449479818344116,0.7588792443275452,-0.09402630478143692,0.5868626832962036,0.7933205366134644,-0.02190030738711357,0.5463670492172241,0.8375117778778076,-0.11047278344631195,0.5896366834640503,0.7890139818191528,-0.01775456592440605,0.5501726865768433,0.8511236310005188,-0.11491706222295761,0.5887641906738281,0.8320860862731934,-0.054199714213609695,0.5313588380813599,0.8578031659126282,-0.1661418229341507
5,0.5364813804626465,0.6092312932014465,-0.09090518951416016,0.5381616353988647,0.604668378829956,-0.08512251824140549,0.5393532514572144,0.604361355304718,-0.08512503653764725,0.5406067967414856,0.6040308475494385,-0.08513276278972626,0.5355138778686523,0.6054165959358215,-0.08188094943761826,0.5348055362701416,0.6057447195053101,-0.08190048485994339,0.5340427756309509,0.6061437726020813,-0.08189480751752853,0.5437482595443726,0.60568767786026,-0.051215607672929764,0.5346139669418335,0.609671950340271,-0.03672334924340248,0.5389750003814697,0.6144036650657654,-0.07843335717916489,0.5360645055770874,0.6153958439826965,-0.07443507760763168,0.5600503087043762,0.6325429081916809,-0.044215284287929535,0.5330122709274292,0.6482914090156555,0.005030780099332333,0.576069712638855,0.6647631525993347,-0.0497431680560112,0.5420365929603577,0.6836643815040588,0.012496387585997581,0.5654383301734924,0.6955888271331787,-0.07173246890306473,0.5445890426635742,0.7005715370178223,-0.047372255474328995,0.56429123878479,0.7088913917541504,-0.08403600007295609,0.5417044162750244,0.7063391804695129,-0.06071476265788078,0.5599311590194702,0.7057238817214966,-0.08758599311113358,0.5425111055374146,0.703328549861908,-0.07066090404987335,0.5597911477088928,0.7018085718154907,-0.0725884735584259,0.542734682559967,0.7004496455192566,-0.05301829054951668,0.5708422660827637,0.7060612440109253,-0.017243538051843643,0.5542543530464172,0.712431013584137,0.01725585386157036,0.5734080076217651,0.7589924931526184,-0.06786638498306274,0.5443031787872314,0.758210301399231,-0.1043383926153183,0.5873441100120544,0.7983691096305847,-0.018520018085837364,0.5459729433059692,0.8374536037445068,-0.11856131255626678,0.59070885181427,0.7985321283340454,-0.015457498840987682,0.5501770973205566,0.8513541221618652,-0.12272224575281143,0.5882911682128906,0.8341965675354004,-0.05738411471247673,0.5310138463973999,0.8577272891998291,-0.17490676045417786
6,0.5352692008018494,0.6099331974983215,-0.06687937676906586,0.5371465682983398,0.6054493188858032,-0.062205720692873,0.5383636355400085,0.6052148342132568,-0.062213800847530365,0.5396331548690796,0.6049888134002686,-0.06221652776002884,0.5346177220344543,0.6059190630912781,-0.058497361838817596,0.5340148210525513,0.6061248183250427,-0.058500148355960846,0.5333596467971802,0.6064017415046692,-0.05851195007562637,0.5429416298866272,0.6072254776954651,-0.0312587171792984,0.5342751741409302,0.6101704835891724,-0.017295578494668007,0.5377742648124695,0.6153204441070557,-0.05520671606063843,0.534945011138916,0.6160663366317749,-0.04976862668991089,0.5583852529525757,0.6341438889503479,-0.030596638098359108,0.5337322950363159,0.6492806077003479,0.030319249257445335,0.5749735236167908,0.6689336895942688,-0.04488493874669075,0.5420774221420288,0.6854000687599182,0.040481846779584885,0.5629867315292358,0.6998040676116943,-0.06930442154407501,0.544289231300354,0.7032942175865173,-0.014090378768742085,0.5610003471374512,0.7126034498214722,-0.0814138874411583,0.5417746305465698,0.709070086479187,-0.022656675428152084,0.5572996139526367,0.7086272239685059,-0.08734161406755447,0.5421187281608582,0.7064395546913147,-0.03223352134227753,0.5573092103004456,0.7047866582870483,-0.07082611322402954,0.5426664352416992,0.7042016983032227,-0.01896345056593418,0.5696936845779419,0.7069365978240967,-0.02016938105225563,0.5528431534767151,0.7131562829017639,0.02017904445528984,0.5634185075759888,0.748498797416687,-0.14068837463855743,0.5396010279655457,0.7477155327796936,-0.10633556544780731,0.5867490768432617,0.8049577474594116,-0.14442116022109985,0.5458261966705322,0.837279200553894,-0.13450823724269867,0.5910495519638062,0.8066755533218384,-0.14601844549179077,0.5503412485122681,0.851131021976471,-0.13986018300056458,0.5880551338195801,0.8412119746208191,-0.1944998800754547,0.5305091738700867,0.8595601320266724,-0.18961432576179504
7,0.5343979001045227,0.6091942191123962,-0.07914365828037262,0.5366335511207581,0.6050268411636353,-0.07585572451353073,0.5379058718681335,0.605171263217926,-0.0758577510714531,0.5392122268676758,0.6046369075775146,-0.07586750388145447,0.5341022610664368,0.6049504280090332,-0.06975839287042618,0.533544659614563,0.6050713658332825,-0.06977806240320206,0.5329744815826416,0.6052465438842773,-0.0697605237364769,0.5427216291427612,0.6069103479385376,-0.050582386553287506,0.5342662930488586,0.6098604798316956,-0.024029025807976723,0.5367351770401001,0.6148284673690796,-0.06984444707632065,0.5340315103530884,0.6158365607261658,-0.06223194673657417,0.5574124455451965,0.6348090171813965,-0.051931269466876984,0.5334609150886536,0.6493533849716187,0.02279355190694332,0.5726636052131653,0.6739096641540527,-0.07117412984371185,0.5401527881622314,0.6839973330497742,0.02947700396180153,0.5575460195541382,0.7050374150276184,-0.0931832417845726,0.5398373603820801,0.7048189043998718,-0.029441174119710922,0.5546025037765503,0.7175794839859009,-0.10614340007305145,0.5378567576408386,0.7143023014068604,-0.04036859795451164,0.551144540309906,0.7131338119506836,-0.10790417343378067,0.5377553701400757,0.7121810913085938,-0.05092155933380127,0.5514137744903564,0.7091496586799622,-0.0934431329369545,0.5389172434806824,0.70953768491745,-0.035674095153808594,0.5679432153701782,0.7076870203018188,-0.02114091068506241,0.5506974458694458,0.7135818600654602,0.021163033321499825,0.5587543845176697,0.744707465171814,-0.1482962965965271,0.5365349054336548,0.7452067136764526,-0.09105043858289719,0.585963249206543,0.8151084780693054,-0.14850807189941406,0.5456998348236084,0.8369729518890381,-0.09328342974185944,0.5902582406997681,0.8197113275527954,-0.14960715174674988,0.5505055785179138,0.8504443764686584,-0.09591044485569,0.5865827798843384,0.8500382304191589,-0.2015727311372757,0.530913770198822,0.8599875569343567,-0.14285334944725037
8,0.5341408848762512,0.6090672612190247,-0.09374405443668365,0.5364844799041748,0.6048034429550171,-0.08926723152399063,0.5377536416053772,0.6051062941551208,-0.08926655352115631,0.5390689969062805,0.6043888330459595,-0.08927886188030243,0.5339041948318481,0.6045286655426025,-0.08343590050935745,0.5333307385444641,0.6046420335769653,-0.08345772325992584,0.5327533483505249,0.604798436164856,-0.08343760669231415,0.5425660014152527,0.606755793094635,-0.05792255327105522,0.5341452956199646,0.6096245646476746,-0.032126717269420624,0.5365409255027771,0.6143312454223633,-0.08216836303472519,0.5337622165679932,0.6155290603637695,-0.07485485076904297,0.5569458603858948,0.6351040601730347,-0.058193791657686234,0.5335859656333923,0.648683488368988,0.018277300521731377,0.569078266620636,0.6783873438835144,-0.09166215360164642,0.5378376245498657,0.6835861206054688,0.016116831451654434,0.5509480237960815,0.7080115675926208,-0.1336534321308136,0.5325827598571777,0.7053743600845337,-0.05506778880953789,0.5472820997238159,0.7197223901748657,-0.1506531983613968,0.5305533409118652,0.7133985757827759,-0.06834974884986877,0.5434700846672058,0.7146744728088379,-0.15213564038276672,0.5302721261978149,0.7115134596824646,-0.07987340539693832,0.5442556142807007,0.7111213803291321,-0.1346556544303894,0.5317558646202087,0.7093102335929871,-0.062059152871370316,0.5678942799568176,0.7081456780433655,-0.023035073652863503,0.5513659715652466,0.7139543890953064,0.02305317111313343,0.5599974393844604,0.746263861656189,-0.15250003337860107,0.5322023630142212,0.7339553236961365,-0.09534446895122528,0.5851095914840698,0.8251290321350098,-0.14924229681491852,0.5458057522773743,0.8364754319190979,-0.08872995525598526,0.5900433659553528,0.834983229637146,-0.15064387023448944,0.5509120225906372,0.8502362370491028,-0.09074001014232635,0.5796720385551453,0.8593489527702332,-0.20629997551441193,0.5309296250343323,0.8581674098968506,-0.13945019245147705
9,0.5333621501922607,0.6071264147758484,-0.05920814722776413,0.5356028079986572,0.6024796962738037,-0.05668364837765694,0.5367270112037659,0.6025949716567993,-0.056692786514759064,0.5379019975662231,0.60222327709198,-0.056709229946136475,0.5335019826889038,0.6028038263320923,-0.0481257401406765,0.5330861806869507,0.6030476689338684,-0.04813988506793976,0.532640814781189,0.6033227443695068,-0.048137929290533066,0.5420185923576355,0.6059427857398987,-0.039088644087314606,0.534509539604187,0.607439398765564,0.0016785956686362624,0.5357745885848999,0.6129447221755981,-0.05209080129861832,0.5333249568939209,0.6140835285186768,-0.0411674901843071,0.5560175776481628,0.6343260407447815,-0.043580129742622375,0.5339922904968262,0.6484236717224121,0.04891948774456978,0.5636826753616333,0.6817154884338379,-0.07440683245658875,0.5371688604354858,0.6849367618560791,0.0312156081199646,0.5405611395835876,0.7063678503036499,-0.10601241886615753,0.5275768637657166,0.7038421034812927,-0.04641876369714737,0.5353668928146362,0.716560959815979,-0.12088578939437866,0.5229160189628601,0.7108582258224487,-0.058978237211704254,0.5325077772140503,0.7124620079994202,-0.12163738906383514,0.5220164060592651,0.7100797295570374,-0.06895142793655396,0.5335907340049744,0.7084558606147766,-0.10608279705047607,0.5246936082839966,0.7063889503479004,-0.053150326013565063,0.5680645108222961,0.7082638144493103,-0.0292048417031765,0.5523305535316467,0.7140941023826599,0.029197242110967636,0.5564480423927307,0.7468305230140686,-0.15535131096839905,0.5332415103912354,0.7357831597328186,-0.05448406934738159,0.584969162940979,0.8357532024383545,-0.18096491694450378,0.5463540554046631,0.8364141583442688,-0.06387721747159958,0.589643657207489,0.8477967977523804,-0.18508726358413696,0.5527915358543396,0.8501601219177246,-0.06773580610752106,0.5710775256156921,0.864389181137085,-0.2343626469373703,0.5309776067733765,0.8573557734489441,-0.10636509954929352
